Titulo,Codigo Postal,Precio,Recamaras,Banos,Estacionamientos,NoPisos,Edad,Area Terreno,Area Construida,Tamaño Jardin
 Colonia Dr. Atl,44399,970000.0,3.0,1.0,1.0,1.0,24.0,140.0,175.0,28.0
 Colonia Vallarta Norte,44690,8800000.0,6.0,2.0,4.0,2.0,0.0,310.0,382.0,4.0
 Colonia Monraz,44670,34831380.0,5.0,5.0,6.0,2.0,0.0,904.0,600.0,
 Colonia San Juan de Dios,44360,5570000.0,11.0,4.0,4.0,2.0,0.0,457.0,569.0,
 Colonia Balcones de Oblatos,44720,1573000.0,2.0,2.0,1.0,2.0,16.0,60.0,125.0,
 Colonia Providencia 1a Secc,44630,18352453.0,4.0,4.0,4.0,2.0,0.0,305.0,400.0,
 Colonia Colinas de San Javier,44660,35121667.0,4.0,4.0,4.0,2.0,0.0,1119.0,400.0,
 Colonia Barrio Mezquitan,44260,3300000.0,4.0,3.0,1.0,1.0,20.0,230.0,230.0,21.0
 Colonia Dr. Atl,44399,2350000.0,5.0,3.0,2.0,2.0,1.0,140.0,240.0,12.0
 Colonia Providencia 1a Secc,44630,15952453.0,4.0,4.0,3.0,2.0,0.0,305.0,280.0,
 Colonia Colinas de San Javier,44660,39121667.0,5.0,5.0,6.0,2.0,0.0,1119.0,600.0,
 Colonia Colinas de Huentitán,44398,2650000.0,4.0,2.0,2.0,2.0,16.0,200.0,329.0,
 Colonia Jardines del Bosque Centro,44520,7979000.0,9.0,6.0,4.0,3.0,0.0,250.0,622.0,
 Colonia Jardines de La Paz,44860,3499000.0,4.0,2.0,1.0,2.0,0.0,123.0,194.0,
 Colonia Blanco y Cuellar 1ra.,44730,4900000.0,6.0,3.0,1.0,40.0,412.0,396.0,,
 Colonia Jardines del Bosque Norte,44520,9750000.0,4.0,3.0,2.0,2.0,30.0,177.0,291.0,
 Colonia Huentitán El Bajo,44250,4450000.0,4.0,3.0,2.0,3.0,0.0,111.0,267.0,
 Colonia Del Fresno 1a. Sección,44900,2250000.0,3.0,1.0,1.0,1.0,48.0,150.0,170.0,
 Colonia 5 de Mayo,44970,1790000.0,4.0,1.0,2.0,40.0,150.0,,,
 Colonia Providencia Sur,44658,6850000.0,3.0,2.0,2.0,2.0,20.0,104.0,189.0,
 Colonia Santa Elena de La Cruz,44230,660000.0,3.0,2.0,2.0,2.0,0.0,77.0,57.0,
 Colonia Santa Elena de La Cruz,44230,660000.0,3.0,2.0,2.0,2.0,0.0,77.0,57.0,
 Colonia Las Torres,44920,3250000.0,5.0,2.0,1.0,2.0,20.0,140.0,,
 Colonia Jardines de los Arcos,44500,9300000.0,4.0,5.0,2.0,2.0,11.0,268.0,257.0,60.0
 Colonia San Vicente,44330,5600000.0,4.0,2.0,2.0,3.0,12.0,144.0,300.0,
 Colonia Huentitán El Bajo,44250,3475000.0,3.0,2.0,2.0,2.0,0.0,150.0,145.0,
 Colonia Lomas Independencia,44350,1744000.0,3.0,1.0,2.0,2.0,0.0,170.0,200.0,
 Colonia Vallarta Poniente,44110,19000000.0,9.0,5.0,5.0,2.0,0.0,427.0,531.0,
 Colonia Santa Rosa,44700,1699000.0,3.0,1.0,2.0,0.0,92.0,123.0,,
 Colonia Villa Vicente Guerrero,44987,724000.0,3.0,2.0,2.0,2.0,25.0,115.0,200.0,
 Colonia Joaquín Aarón,44768,425000.0,3.0,2.0,1.0,2.0,0.0,120.0,100.0,
 Colonia Jardines del Bosque Centro,44520,9490000.0,5.0,4.0,4.0,2.0,59.0,192.0,252.0,15.0
 Colonia 5 de Mayo,44970,3500000.0,3.0,2.0,4.0,2.0,0.0,229.0,242.0,25.0
 Guadalajara,44670,9500000.0,4.0,2.0,2.0,43.0,300.0,213.0,,
 Colonia Santa Mónica,44220,6990000.0,4.0,2.0,4.0,2.0,30.0,258.0,345.0,
 Colonia Italia Providencia,44648,11800000.0,4.0,4.0,3.0,2.0,30.0,250.0,404.0,
 Colonia Independencia Oriente,44340,6000000.0,5.0,2.0,2.0,3.0,50.0,153.0,400.0,
 Colonia Versalles,44790,2040000.0,4.0,2.0,2.0,39.0,103.0,146.0,,
 Colonia Providencia 4a Secc,44639,19500000.0,6.0,6.0,3.0,3.0,0.0,361.0,550.0,
 Colonia Arcos,44130,10900000.0,6.0,2.0,4.0,3.0,50.0,429.0,381.0,40.0
 Colonia Jardines de San José,44950,612000.0,3.0,2.0,1.0,2.0,10.0,120.0,120.0,
 Colonia Joaquín Aarón,44768,425000.0,3.0,2.0,1.0,2.0,0.0,120.0,100.0,
 Colonia Emiliano Zapata,44980,2076000.0,2.0,1.0,1.0,2.0,11.0,48.0,60.0,
 Colonia Jardines Alcalde,44298,740000.0,4.0,2.0,2.0,2.0,0.0,174.0,250.0,
 Colonia Jardines del Country,44210,734000.0,3.0,3.0,2.0,2.0,0.0,173.0,280.0,
 Colonia Providencia 2a Secc,44630,16900000.0,4.0,4.0,2.0,2.0,351.0,326.0,,
 Colonia La Paz,44860,4000000.0,6.0,3.0,2.0,2.0,0.0,,,
 Colonia Circunvalación Américas,44630,679632.0,2.0,1.0,0.0,,,,,
 Colonia Ampliación Talpita,44719,3885000.0,7.0,3.0,2.0,1.0,30.0,240.0,220.0,65.0
 Colonia Bosques de La Victoria,44540,790000.0,5.0,3.0,3.0,2.0,12.0,227.0,350.0,30.0
 Colonia Santa María,44350,3361800.0,4.0,1.0,2.0,1.0,10.0,184.0,250.0,1.0
 Colonia Atlas Poniente,44870,2400000.0,4.0,2.0,2.0,0.0,81.0,123.0,,
 Colonia Bosques Del Boulevard,44899,447000.0,3.0,2.0,2.0,0.0,130.0,160.0,,
 Colonia Blanco y Cuellar 1ra.,44730,4900000.0,6.0,3.0,1.0,40.0,340.0,,,
 Colonia Palacio de Gobierno Del Estado de Jalisco,44009,5650000000.0,4.0,2.0,1.0,2.0,10.0,,,
 Colonia Santa Elena Alcalde Oriente,44220,4700000.0,5.0,4.0,1.0,2.0,20.0,252.0,325.0,
 Colonia Jardines del Bosque Norte,44520,4500000.0,3.0,4.0,2.0,43.0,143.0,195.0,,
 Colonia Balcones Del 4,44984,297000.0,3.0,1.0,1.0,1.0,11.0,120.0,90.0,
 Colonia Monumental,44320,548000.0,3.0,2.0,2.0,2.0,0.0,102.0,102.0,
 Colonia Bosques de La Victoria,44540,815000.0,3.0,3.0,2.0,1.0,0.0,179.0,260.0,
 Colonia Bosques de La Victoria,44540,840000.0,4.0,3.0,2.0,2.0,15.0,294.0,250.0,
 Colonia Circunvalación Guevara,44680,14000000.0,8.0,5.0,4.0,13.0,351.0,510.0,,
 Colonia Jardines de San José,44950,490000.0,4.0,2.0,2.0,2.0,0.0,175.0,350.0,
 Colonia Progreso,44730,650000.0,3.0,1.0,2.0,1.0,0.0,160.0,,
 Guadalajara,44660,7500000.0,3.0,4.0,2.0,0.0,179.0,100.0,,
 Colonia Del Fresno 1a. Sección,44900,2490000.0,2.0,2.0,1.0,2.0,0.0,186.0,215.0,
 Colonia Jardines de La Cruz 1a. Sección,44950,525000.0,5.0,1.0,1.0,2.0,0.0,275.0,435.0,
 Colonia El Dean,44440,510000.0,4.0,2.0,1.0,2.0,0.0,103.0,120.0,
 Colonia El Rocio,44977,2073900.0,2.0,2.0,2.0,2.0,0.0,80.0,,
 Colonia Campo de Polo Chapalita,44500,7850000.0,2.0,2.0,3.0,1.0,40.0,248.0,210.0,
 Colonia Atlas Poniente,44870,750000.0,4.0,3.0,2.0,11.0,85.0,170.0,,
 Guadalajara,44520,11850000.0,7.0,4.0,3.0,0.0,465.0,509.0,,
 Colonia Jardines de San José,44950,1890000.0,2.0,2.0,1.0,2.0,38.0,60.0,110.0,10.0
 Colonia Jardines de La Paz,44860,3499000.0,3.0,2.0,1.0,2.0,0.0,123.0,194.0,
 Colonia Ferrocarril,44440,1686250.0,2.0,2.0,1.0,29.0,113.0,,,
 Colonia Santos Degollado,44710,3800000.0,9.0,3.0,2.0,2.0,0.0,300.0,450.0,
 Colonia Ladrón de Guevara,44600,7600000.0,6.0,2.0,2.0,1.0,50.0,389.0,,
